,researcher,date,hour_HOBO,hour_OMEGA,temp,intensity,humidity,pendant_id,lat,long,region,site_code,sensor_pendant,microsite,rep,x,y,z
1,ng,2022-05-26,1:00:00 PM,NA,52.149,7168,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
2,ng,2022-05-26,2:00:00 PM,NA,48.155,3456,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
3,ng,2022-05-26,3:00:00 PM,NA,51.014,3712,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
4,ng,2022-05-26,4:00:00 PM,NA,47.499,1152,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
5,ng,2022-05-26,5:00:00 PM,NA,48.288,1984,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
6,ng,2022-05-26,6:00:00 PM,NA,43.359,1344,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
7,ng,2022-05-26,7:00:00 PM,NA,39.615,464,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
8,ng,2022-05-26,8:00:00 PM,NA,34.374,4,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
9,ng,2022-05-26,9:00:00 PM,NA,32.911,0,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
10,ng,2022-05-26,10:00:00 PM,NA,31.37,0,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
11,ng,2022-05-26,11:00:00 PM,NA,28.06,0,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
12,ng,2022-05-27,12:00:00 AM,NA,29.152,0,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
13,ng,2022-05-27,1:00:00 AM,NA,27.272,0,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
14,ng,2022-05-27,2:00:00 AM,NA,26.977,0,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
15,ng,2022-05-27,3:00:00 AM,NA,27.075,0,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
16,ng,2022-05-27,4:00:00 AM,NA,25.902,0,NA,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8,0,0,0
